run_id,simulator_type,computer_name,processor,operating_system,Number_of_Runs,run_time_seconds,Monk_Survived,Monk_Bounced,Feller_Survived,Feller_Bounced,Brute_Survived,Brute_Bounced,date_run,score
31,Multi Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,102.97480988502502,9326748,1594548,5950972,1813736,8755723,6098056,1609963189.249928,9.711112854848043
32,Multi Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,98.20292448997498,9325296,1594864,5950818,1812985,8754830,6091954,1609963292.241694,10.18299612963242
33,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,124.10976457595824,9326302,1595847,5952597,1816280,8755649,6093396,1609964725.7164845,8.05738374749696
34,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,140.49069356918338,9325638,1595029,5951023,1812792,8754928,6093422,1609964849.8501825,7.117909198074813
35,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,133.12024235725406,9325796,1594795,5953591,1813854,8753617,6093278,1609964990.36109,7.512005554469362
36,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,148.09987831115725,9326573,1596172,5952474,1814842,8756509,6095521,1609965123.4943502,6.7522000112586475
37,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,131.9171187877655,9325641,1597323,5950243,1812224,8755539,6094812,1609965271.60782,7.580517291382383
38,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,132.74517941474917,9327198,1595237,5948404,1814730,8755513,6097462,1609965403.5379214,7.5332302416466606
39,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,121.40218544006348,9327165,1595819,5948985,1814231,8756276,6094582,1609965536.2902026,8.237084006149974
40,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,145.5478277206421,9327607,1595633,5953603,1814697,8754060,6092577,1609965657.692388,6.870593781168307
41,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,138.5066032409668,9325245,1595360,5949035,1812376,8754577,6095284,1609965803.2552052,7.219872385869218
42,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,133.47848010063169,9326799,1596170,5952862,1813379,8755080,6095686,1609965941.7747376,7.491844372561651
43,Single Thread,USSLO-DCJ1M53,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",Windows 10 version 10.0.18362,10000000.0,146.42478013038638,9325968,1593414,5950318,1814172,8754578,6091967,1609966075.26693,6.829445119258732
44,Single Thread,Tesseract,"Intel64 Family 6 Model 167 Stepping 1, GenuineIntel",Windows 10 version 10.0.19041,10000000.0,76.91944408416748,9325712,1593923,5951130,1816627,8755114,6092788,1620146875.4611585,13.000613978772016
45,Multi Thread,Tesseract,"Intel64 Family 6 Model 167 Stepping 1, GenuineIntel",Windows 10 version 10.0.19041,10000000.0,41.17528748512268,9326065,1594904,5951327,1813746,8756396,6093370,1620147083.6913044,24.286412095150926
