,Unnamed: 0,Description,Number
0,0,Brute_Save,0
1,1,Brute_Bounce,0
2,2,Monk_Save,0
3,3,Monk_Bounce,0
4,4,Feller_Save,0
5,5,Feller_Bounce,0
6,6,Number,0
